City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,kerikeri,-35.2268,173.9474,16.06,61,42,2.68,NZ,1720147810
118,nova vicosa,-17.8919,-39.3719,22.14,77,0,2.29,BR,1720147811
119,ternate,0.8,127.4,26.81,80,81,2.99,ID,1720147813
120,crane,31.3974,-102.3501,29.67,40,52,8.71,US,1720147814
121,vilyuchinsk,52.9306,158.4028,21.15,67,50,2.01,RU,1720147815
122,sisimiut,66.9395,-53.6735,7.64,63,42,1.15,GL,1720147816
123,naracoorte,-36.9579,140.7383,14.62,58,1,3.49,AU,1720147817
124,soto la marina,23.7667,-98.2167,25.82,90,3,4.54,MX,1720147818
125,san rafael,-34.6177,-68.3301,2.39,43,0,0.75,AR,1720147820
126,waspan,14.7419,-83.9717,24.73,93,100,1.48,NI,1720147821
127,lorengau,-2.0226,147.2712,28.11,76,78,3.11,PG,1720147823
128,alesund,62.4723,6.1549,10.74,89,100,5.14,NO,1720147824
129,umm kaddadah,13.6017,26.6876,30.17,46,16,5.45,SD,1720147826
130,howard springs,-12.497,131.047,26.04,38,80,3.29,AU,1720147827
131,mokhsogollokh,61.4681,128.9203,13.13,54,98,5.22,RU,1720147828
132,aras-asan,8.8908,126.3033,29.26,67,88,2.41,PH,1720147829
133,whitehorse,60.7161,-135.0538,19.43,49,75,3.09,CA,1720147830
134,mitchell,43.7094,-98.0298,17.99,78,0,4.12,US,1720147831
135,chicoana,-25.1009,-65.5331,12.03,70,100,2.04,AR,1720147833
136,talnakh,69.4865,88.3972,16.39,59,100,3.72,RU,1720147834
137,usinsk,65.9939,57.5281,13.24,70,2,6.9,RU,1720147804
138,wanxian,30.8039,108.3897,27.6,87,100,1.8,CN,1720147836
139,kayangel,8.0823,134.7173,28.36,75,72,3.46,PW,1720147837
140,bolszewo,54.618,18.1759,11.85,89,3,2.24,PL,1720147839
141,grand baie,-20.0182,57.5802,21.26,78,69,0.89,MU,1720147840
142,saint croix,17.7397,-64.7388,28.25,86,20,4.63,VI,1720147841
143,bam,29.106,58.357,38.31,13,20,1.15,IR,1720147842
144,tofol,5.3248,163.0078,25.88,89,100,1.54,FM,1720147845
145,gadzhiyevo,69.2551,33.3362,14.08,75,100,4.22,RU,1720147847
146,puerto deseado,-47.7503,-65.8938,3.91,79,59,9.67,AR,1720147848
147,slave lake,55.2834,-114.769,21.99,53,0,5.66,CA,1720147745
148,hirara,24.8,125.2833,33.15,70,40,4.63,JP,1720147850
149,bodo,67.28,14.405,16.64,70,75,6.69,NO,1720147852
150,kone,-21.0595,164.8658,21.7,64,93,5.48,NC,1720147853
151,pierre,44.3683,-100.351,17.14,84,75,6.69,US,1720147854
152,saldanha,-33.0117,17.9442,12.03,72,45,4.22,ZA,1720147855
153,freetown,8.484,-13.2299,24.84,83,75,3.09,SL,1720147856
154,okhotsk,59.3833,143.3,15.72,67,5,4.59,RU,1720147858
155,vorkuta,67.5,64.0,10.33,84,100,7.13,RU,1720147860
156,isafjordur,66.0755,-23.124,3.23,94,100,3.6,IS,1720147861
157,farafangana,-22.8167,47.8333,18.41,90,12,3.81,MG,1720147862
158,eyl,7.9803,49.8164,26.31,58,100,9.49,SO,1720147864
159,marsabit,2.3284,37.9899,15.42,75,51,6.28,KE,1720147865
160,illapel,-31.6308,-71.1653,9.2,76,97,1.17,CL,1720147866
161,ola,59.5833,151.2833,12.74,77,11,4.01,RU,1720147867
162,stjordalshalsen,63.4681,10.9262,14.0,72,0,1.03,NO,1720147868
163,haiku-pauwela,20.9219,-156.3051,27.01,68,40,8.75,US,1720147869
164,burutu,5.3509,5.5076,24.72,90,100,2.53,NG,1720147871
165,uturoa,-16.7333,-151.4333,25.86,79,4,9.22,PF,1720147872
166,sao tome,0.3365,6.7273,24.02,84,85,3.81,ST,1720147873
167,goba,7.0167,39.9833,10.26,82,100,1.5,ET,1720147874
168,namtsy,62.7161,129.6658,10.5,83,100,1.92,RU,1720147875
169,fort bragg,35.139,-79.006,30.08,77,43,2.24,US,1720147877
170,queenstown,-31.8976,26.8753,6.15,43,62,5.35,ZA,1720147878
171,corning,42.1428,-77.0547,23.65,88,100,0.56,US,1720147879
172,alice springs,-23.7,133.8833,13.75,54,20,4.12,AU,1720147807
173,nampula,-15.1165,39.2666,17.97,100,20,1.03,MZ,1720147881
174,labytnangi,66.6572,66.4183,14.91,70,69,6.81,RU,1720147882
175,al artawiyah,26.5053,45.3444,28.47,17,31,3.58,SA,1720147884
176,olonkinbyen,70.9221,-8.7187,1.71,92,80,4.74,SJ,1720147885
177,ponta delgada,37.7333,-25.6667,19.4,72,75,1.54,PT,1720147886
178,leava,-14.3,-178.1667,27.54,79,18,7.57,WF,1720147887
179,calama,-22.4667,-68.9333,8.84,15,10,3.27,CL,1720147888
180,port lincoln,-34.7333,135.8667,12.96,75,96,8.4,AU,1720147890
181,nuuk,64.1835,-51.7216,5.34,81,10,8.75,GL,1720147891
182,yanykurgan,43.915,67.2481,28.5,27,0,7.12,KZ,1720147892
183,neryungri,56.6709,124.6491,23.31,44,43,2.65,RU,1720147893
184,vorgashor,67.5833,63.95,9.9,85,100,7.08,RU,1720147894
185,dudinka,69.4058,86.1778,18.15,68,100,6.25,RU,1720147895
186,kostomuksha,64.571,30.5767,13.67,92,100,1.41,RU,1720147897
187,mulchen,-37.7167,-72.2333,1.63,81,2,3.6,CL,1720147898
188,sao mateus,-18.7161,-39.8589,20.01,85,0,1.7,BR,1720147899
189,ayr,55.4627,-4.6339,11.99,76,100,8.23,GB,1720147900
190,saint-jean-de-monts,46.7833,-2.0667,15.74,79,100,2.38,FR,1720147901
191,tazovsky,67.4667,78.7,19.68,71,59,7.96,RU,1720147903
192,yuzhno-kurilsk,44.0306,145.8556,18.42,83,100,3.24,RU,1720147904
193,serhetabat,35.2799,62.3438,28.83,16,1,2.86,TM,1720147905
194,errachidia,31.9275,-4.4285,32.03,5,0,2.06,MA,1720147906
195,udachny,66.4167,112.4,17.4,39,99,2.55,RU,1720147907
196,tura,25.5198,90.2201,25.66,90,100,3.63,IN,1720147908
197,colonia,50.9333,6.95,13.96,75,40,4.12,DE,1720147910
198,quatre cocos,-20.2078,57.7625,21.06,68,83,6.83,MU,1720147911
199,cabo san lucas,22.8909,-109.9124,31.61,54,0,3.6,MX,1720147534
200,lamu,-2.2717,40.902,24.45,85,61,5.73,KE,1720147913
201,utrik,11.2278,169.8474,27.65,79,100,6.78,MH,1720147915
202,bukoba,-1.3317,31.8122,20.08,73,6,3.54,TZ,1720147917
203,talcahuano,-36.7167,-73.1167,3.82,70,0,2.57,CL,1720147918
204,kandete,-9.15,33.8,12.57,90,0,0.7,TZ,1720147919
205,kemijarvi,66.7131,27.4306,14.47,90,62,3.47,FI,1720147920
206,pauini,-7.7136,-66.9764,26.78,59,100,0.98,BR,1720147921
207,macka,40.8186,39.6136,20.64,54,0,3.94,TR,1720147923
208,ghat,24.9647,10.1728,29.55,14,31,3.28,LY,1720147924
209,nanga eboko,4.6833,12.3667,20.68,99,100,1.84,CM,1720147925
210,fortuna,40.5982,-124.1573,21.19,76,20,2.57,US,1720147926
211,nan,18.8333,100.6667,24.01,100,75,1.03,TH,1720147927
212,manuguru,17.981,80.7547,28.02,80,99,1.54,IN,1720147928
213,holualoa,19.6228,-155.9522,24.2,77,60,0.45,US,1720147930
214,slyudyanka,51.6594,103.7061,18.66,97,100,0.77,RU,1720147931
215,novokayakent,42.3937,47.9861,27.12,49,0,1.14,RU,1720147932
216,mugia,43.1041,-9.2179,17.87,92,29,9.07,ES,1720147933
217,tabou,4.423,-7.3528,24.43,75,83,2.17,CI,1720147934
218,salina,38.8403,-97.6114,23.95,63,0,2.53,US,1720147926
219,lengshuitan,26.4111,111.5956,31.85,62,63,5.32,CN,1720147937
220,mount isa,-20.7333,139.5,25.87,50,20,7.2,AU,1720147938
221,kijang,35.2442,129.2139,27.85,84,75,6.38,KR,1720147939
222,port douglas,-16.4833,145.4667,24.27,76,33,6.53,AU,1720147940
223,ribas do rio pardo,-20.4431,-53.7592,18.72,37,0,1.04,BR,1720147942
224,verdal,63.7933,11.4817,14.02,80,99,1.68,NO,1720147943
225,pastavy,55.1168,26.8326,12.22,97,96,2.46,BY,1720147944
226,katsuura,35.1333,140.3,26.32,86,25,3.86,JP,1720147945
227,acarau,-2.8856,-40.12,24.6,89,2,5.8,BR,1720147946
228,wailua homesteads,22.0669,-159.378,26.44,77,20,6.17,US,1720147948
229,priob'ye,62.5206,65.5964,21.63,53,8,6.41,RU,1720147949
230,humaita,-7.5061,-63.0208,26.12,68,92,1.26,BR,1720147950
231,schlangen,51.8098,8.8461,12.21,83,100,2.95,DE,1720147951
232,yarmouth,41.7057,-70.2286,22.77,86,100,4.63,US,1720147952
233,tongliao,43.6125,122.2653,22.85,77,100,4.5,CN,1720147954
234,nemuro,43.3236,145.575,13.72,97,100,3.59,JP,1720147955
235,khasab,26.1799,56.2477,32.73,50,100,0.94,OM,1720147957
